                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79495,                 1.2798,                0.93488,                0.93442,                0.86985,                0.92115,                 0.7194,                0.82023,                0.69883,                0.92506,             0.00066348,             0.00066348,             0.00066348
                      2,                0.80861,                0.65449,                0.94414,                0.85415,                0.61648,                  0.681,                0.52413,                 1.0184,                 1.1425,                 1.0706,               0.001317,               0.001317,               0.001317
                      3,                0.83558,                0.61909,                0.94998,                 0.9742,                0.87789,                0.94707,                0.75497,                 0.7266,                0.64261,                0.89116,              0.0019573,              0.0019573,              0.0019573
                      4,                0.78987,                 0.5736,                0.94694,                0.96477,                0.91158,                0.95793,                0.76884,                0.73489,                 0.4938,                0.89356,              0.0019406,              0.0019406,              0.0019406
                      5,                0.78032,                 0.5605,                0.93161,                0.95797,                0.91181,                 0.9572,                0.76596,                0.74576,                0.49786,                 0.8869,              0.0019406,              0.0019406,              0.0019406
                      6,                0.75035,                0.52601,                0.92389,                0.97237,                0.88921,                0.93872,                0.78343,                 0.6761,                0.50917,                0.87859,              0.0019208,              0.0019208,              0.0019208
                      7,                0.74839,                0.52223,                0.92499,                0.98385,                0.89752,                 0.9599,                0.80615,                0.64558,                0.46561,                0.86986,               0.001901,               0.001901,               0.001901
                      8,                0.73782,                0.51405,                0.92222,                0.96753,                0.87789,                0.92795,                0.77196,                 0.6574,                0.51224,                0.87882,              0.0018812,              0.0018812,              0.0018812
                      9,                0.73498,                0.49039,                0.92022,                0.97845,                0.91789,                0.97136,                0.80504,                0.66349,                0.41254,                0.86721,              0.0018614,              0.0018614,              0.0018614
                     10,                0.70918,                0.47489,                 0.9099,                0.96064,                0.92211,                0.96851,                0.80253,                0.66831,                0.42833,                0.87691,              0.0018416,              0.0018416,              0.0018416
                     11,                0.70992,                0.47406,                0.90995,                0.98244,                0.92211,                0.96474,                0.81727,                  0.632,                0.38849,                0.86818,              0.0018218,              0.0018218,              0.0018218
                     12,                0.69199,                0.45905,                0.90902,                 0.9853,                0.92421,                0.97267,                0.81413,                0.64938,                0.38494,                0.86377,               0.001802,               0.001802,               0.001802
                     13,                0.68557,                0.45388,                0.90253,                0.97783,                0.92843,                 0.9715,                0.81822,                0.63331,                 0.3871,                0.85213,              0.0017822,              0.0017822,              0.0017822
                     14,                0.68281,                0.43954,                0.89554,                0.95758,                0.95051,                0.97643,                0.82459,                0.61292,                0.38692,                0.85371,              0.0017624,              0.0017624,              0.0017624
                     15,                0.67141,                0.43717,                 0.8989,                0.98045,                0.93263,                0.97354,                  0.832,                0.60352,                0.36407,                0.85485,              0.0017426,              0.0017426,              0.0017426
                     16,                0.65487,                0.43394,                 0.8969,                 0.9789,                0.94316,                0.97494,                0.84183,                0.59365,                0.34813,                0.84385,              0.0017228,              0.0017228,              0.0017228
                     17,                0.63433,                0.41552,                 0.8861,                0.97814,                0.94182,                 0.9822,                0.84766,                0.57722,                0.32424,                0.84278,               0.001703,               0.001703,               0.001703
                     18,                0.65521,                0.42251,                0.89075,                0.97298,                0.93053,                0.97888,                0.83381,                0.61142,                0.38648,                0.85444,              0.0016832,              0.0016832,              0.0016832
                     19,                0.65887,                0.42579,                0.89206,                0.98649,                0.92842,                0.97787,                0.82415,                0.61483,                0.35516,                0.84681,              0.0016634,              0.0016634,              0.0016634
                     20,                0.64553,                0.41765,                0.89079,                0.97237,                0.94316,                0.97747,                0.83631,                0.59813,                0.34876,                0.85195,              0.0016436,              0.0016436,              0.0016436
                     21,                0.62702,                0.39188,                0.88659,                0.97141,                0.92978,                0.97962,                0.84846,                0.57215,                0.33956,                 0.8344,              0.0016238,              0.0016238,              0.0016238
                     22,                0.60908,                0.38767,                0.87414,                0.98993,                0.93263,                0.97999,                0.84333,                0.54545,                0.32173,                0.83037,               0.001604,               0.001604,               0.001604
                     23,                0.62557,                0.40051,                 0.8739,                0.98881,                0.93044,                 0.9756,                  0.848,                0.57862,                0.32891,                0.83668,              0.0015842,              0.0015842,              0.0015842
                     24,                0.62825,                0.38732,                0.88191,                0.97865,                0.95158,                0.98108,                0.84834,                0.56004,                0.33123,                0.83305,              0.0015644,              0.0015644,              0.0015644
                     25,                0.62007,                0.39904,                0.88078,                0.98282,                0.92842,                0.98057,                0.84628,                0.56627,                0.31796,                0.83396,              0.0015446,              0.0015446,              0.0015446
                     26,                0.61716,                0.39126,                 0.8858,                 0.9788,                0.93263,                0.97892,                0.84339,                 0.5645,                 0.3415,                0.83468,              0.0015248,              0.0015248,              0.0015248
                     27,                0.60677,                0.37864,                0.87743,                0.96402,                0.95881,                0.98121,                0.84652,                0.54823,                0.31122,                0.83163,               0.001505,               0.001505,               0.001505
                     28,                 0.6059,                0.38389,                0.87732,                0.98546,                0.93895,                0.97825,                0.84171,                0.57602,                0.32937,                0.82902,              0.0014852,              0.0014852,              0.0014852
                     29,                0.59563,                0.37671,                0.87424,                0.97812,                0.94112,                0.98065,                0.84676,                0.55073,                0.31655,                0.82816,              0.0014654,              0.0014654,              0.0014654
                     30,                0.60416,                0.37769,                0.87779,                0.98597,                0.93895,                0.97854,                0.84606,                0.54161,                0.32214,                0.83392,              0.0014456,              0.0014456,              0.0014456
                     31,                0.60032,                0.37678,                0.87522,                0.97719,                0.96211,                 0.9842,                0.84781,                0.57577,                0.31747,                0.84091,              0.0014258,              0.0014258,              0.0014258
                     32,                0.58915,                0.36985,                0.86894,                0.97708,                0.95158,                0.98157,                 0.8579,                0.54459,                0.30765,                0.83021,               0.001406,               0.001406,               0.001406
                     33,                0.59054,                0.35769,                 0.8779,                0.98027,                0.94122,                0.98096,                0.85451,                0.54376,                0.30433,                0.83015,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.5898,                0.36086,                0.86988,                0.98845,                0.94526,                0.98296,                 0.8521,                0.55253,                0.29649,                0.83561,              0.0013664,              0.0013664,              0.0013664
                     35,                0.59831,                0.37068,                0.87404,                0.98477,                0.95274,                0.98372,                0.84845,                0.54829,                0.30365,                0.83489,              0.0013466,              0.0013466,              0.0013466
                     36,                0.58419,                0.36344,                0.87016,                0.98089,                0.95158,                0.98213,                0.85045,                0.54833,                0.31632,                0.83566,              0.0013268,              0.0013268,              0.0013268
                     37,                0.58125,                 0.3536,                0.87484,                 0.9762,                0.94977,                0.98282,                0.84311,                0.54438,                0.30366,                0.83487,               0.001307,               0.001307,               0.001307
                     38,                0.59201,                0.35612,                0.87271,                0.97885,                0.95368,                 0.9822,                0.85614,                0.53573,                0.29712,                 0.8325,              0.0012872,              0.0012872,              0.0012872
                     39,                0.56391,                0.34903,                0.87194,                 0.9868,                0.94737,                0.98344,                0.85316,                0.53344,                0.29247,                0.82501,              0.0012674,              0.0012674,              0.0012674
                     40,                0.58136,                0.34659,                0.86908,                0.96936,                   0.96,                0.98305,                0.85006,                0.52821,                0.29364,                0.82854,              0.0012476,              0.0012476,              0.0012476
                     41,                0.56951,                0.34283,                0.86896,                0.99133,                0.93474,                0.98437,                0.85748,                0.53306,                0.28964,                0.82891,              0.0012278,              0.0012278,              0.0012278
                     42,                0.56955,                0.35238,                0.86915,                0.99076,                0.95158,                0.98341,                0.85223,                0.53284,                0.28582,                0.82655,               0.001208,               0.001208,               0.001208
                     43,                0.56645,                0.35113,                 0.8645,                0.99148,                0.95368,                0.98639,                0.86084,                 0.5372,                0.28948,                 0.8248,              0.0011882,              0.0011882,              0.0011882
                     44,                0.55636,                0.33955,                0.86209,                0.99117,                0.94552,                0.98362,                0.86743,                0.53037,                0.27719,                0.82788,              0.0011684,              0.0011684,              0.0011684
                     45,                0.56278,                0.34341,                0.86239,                0.99182,                0.94526,                0.98317,                0.86466,                0.51587,                0.28214,                0.82091,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.5461,                0.32585,                0.85875,                0.99333,                0.94092,                0.98388,                0.86251,                 0.5292,                 0.2694,                0.81955,              0.0011288,              0.0011288,              0.0011288
                     47,                0.55324,                0.33063,                0.86534,                0.97771,                   0.96,                0.98488,                0.86459,                0.51315,                0.27336,                0.82219,               0.001109,               0.001109,               0.001109
                     48,                 0.5672,                0.34753,                 0.8589,                0.99334,                0.94253,                0.98532,                0.87163,                0.51534,                0.26751,                0.82318,              0.0010892,              0.0010892,              0.0010892
                     49,                0.55481,                0.32717,                0.86442,                0.97851,                0.95845,                0.98448,                 0.8753,                 0.5022,                0.27299,                 0.8202,              0.0010694,              0.0010694,              0.0010694
                     50,                0.53918,                0.31995,                0.85536,                0.98387,                0.93895,                0.97883,                0.86383,                0.53179,                0.29598,                 0.8285,              0.0010496,              0.0010496,              0.0010496
                     51,                0.54676,                0.32534,                0.85752,                0.97445,                0.96355,                0.98619,                0.87339,                0.53068,                0.27467,                 0.8289,              0.0010298,              0.0010298,              0.0010298
                     52,                 0.5494,                0.31994,                0.86038,                0.97858,                   0.96,                 0.9851,                0.87511,                 0.5146,                0.27168,                0.81974,                0.00101,                0.00101,                0.00101
                     53,                0.54238,                0.32095,                0.87018,                0.97825,                0.96632,                0.98627,                0.87055,                0.51338,                0.27318,                0.82202,              0.0009902,              0.0009902,              0.0009902
                     54,                0.53206,                0.31727,                0.86212,                0.96947,                0.96421,                 0.9842,                0.87605,                0.50712,                0.27522,                0.81729,              0.0009704,              0.0009704,              0.0009704
